item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
BAWANG PUTIH IMPORT (CHINA),Sarawak,10.87889641,-0.039449183,11.21363975,7.431887669,1
BAWANG PUTIH IMPORT (CHINA),Selangor,12.20222165,-0.022639174,12.40294439,7.164517685,1
BAWANG PUTIH IMPORT (CHINA),Terengganu,12.37948947,-0.099507869,12.62146199,7.406944238,1
BAWANG PUTIH IMPORT (CHINA),W.P. Kuala Lumpur,13.88176471,0.068654221,13.88176471,7.575333333,1
BAWANG PUTIH IMPORT (CHINA),W.P. Labuan,11.92581121,0.040926438,11.92581121,7.47170418,1
BAWANG PUTIH IMPORT (CHINA),W.P. Putrajaya,13.35383562,0.028947883,13.6772549,7.505330396,1
BAYAM HIJAU,Johor,4.793511387,-0.46761175,7.295257077,4.315343015,1
BAYAM HIJAU,Kedah,4.634842271,-0.238171457,6.20240678,4.510760456,1
BAYAM HIJAU,Kelantan,6.167171171,-0.019561473,8.018583569,5.706785714,1
BAYAM HIJAU,Melaka,4.362109181,-0.369719219,6.201828442,3.732542017,1
BAYAM HIJAU,Negeri Sembilan,4.515541126,-0.384358009,6.216409449,4.052116788,1
BAYAM HIJAU,Pahang,4.24763656,-0.185538555,6.997134761,4.02006689,1
BAYAM HIJAU,Perak,4.68360262,-0.187868269,6.308808323,4.285447958,1
BAYAM HIJAU,Perlis,6.512380952,-0.158187117,7.560755814,6.047037037,1
BAYAM HIJAU,Pulau Pinang,4.828210406,-0.183364746,6.411595131,4.552930328,1
BAYAM HIJAU,Sabah,5.80525802,0.141053212,6.244040816,4.90622973,1
BAYAM HIJAU,Sarawak,6.382682403,-0.420838285,7.646514523,6.194378882,1
BAYAM HIJAU,Selangor,4.787279626,-0.247777251,7.306420118,4.273249027,1
BAYAM HIJAU,Terengganu,6.521206497,-0.236733139,10.32962025,6.037287785,1
BAYAM HIJAU,W.P. Kuala Lumpur,5.806132178,0.132476201,8.09458296,4.429377628,1
